Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
97,Preece,468.950000,off,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
98,CUP 62-1,451.325000,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
99,QUALIFYING,451.325000,off,0.000000,DTCS,88.5,88.5,251,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
100,CUP 66-1,458.537500,off,0.000000,DTCS,88.5,88.5,654,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
101,CUP 67-1,467.812500,off,0.000000,DTCS,88.5,88.5,371,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
102,McDowell,459.037500,off,0.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
103,Hocevar,458.212500,off,0.000000,TSQL,88.5,233.6,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
104,CUP 78-1,467.750000,off,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
105,CUP 84-1,460.237500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
106,Gisbergen,460.337500,off,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
107,CUP 91-1,465.437500,off,0.000000,DTCS,88.5,88.5,311,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
108,Suarez,465.387500,off,0.000000,DTCS,88.5,88.5,226,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
109,01-LaJoie,461.250000,off,0.000000,DTCS,88.5,88.5,532,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
110,Chastain,469.387500,off,0.000000,TSQL,88.5,186.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
111,Cindric,468.887500,off,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
112,Dillon,467.375000,off,0.000000,DTCS,88.5,88.5,261,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
113,Gragson,463.962500,off,0.000000,TSQL,88.5,69.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
114,Larson,458.762500,off,0.000000,DTCS,88.5,88.5,245,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
115,Keselowski,461.350000,off,0.000000,DTCS,88.5,88.5,072,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
116,Haley,468.675000,off,0.000000,DTCS,88.5,88.5,464,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
117,Busch,457.675000,off,0.000000,DTCS,88.5,88.5,311,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
118,Elliot,464.425000,off,0.000000,DTCS,88.5,88.5,445,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
119,Dillon,462.962500,off,0.000000,TSQL,88.5,118.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
120,Hamlin,462.425000,off,0.000000,DTCS,88.5,88.5,165,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
121,Blaney,464.925000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
122,CUP 14-2,469.737500,off,0.000000,DTCS,88.5,88.5,074,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
123,Brown,466.400000,off,0.000000,DTCS,88.5,88.5,114,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
124,Allmendinger,462.750000,off,0.000000,DTCS,88.5,88.5,315,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
125,Buescher,462.200000,off,0.000000,DTCS,88.5,88.5,723,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
126,Briscoe,462.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
127,Bell,462.475000,off,0.000000,DTCS,88.5,88.5,413,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
128,Berry,463.037500,off,0.000000,DTCS,88.5,88.5,205,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
129,Logano,464.825000,off,0.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
130,Wallace,451.125000,off,0.000000,DTCS,88.5,88.5,446,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
131,Byron,456.887500,off,0.000000,DTCS,88.5,88.5,423,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
132,CUP 27-2,458.087500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
133,CUP 33-2,467.375000,off,0.000000,DTCS,88.5,88.5,261,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
134,Gilliland,463.300000,off,0.000000,DTCS,88.5,88.5,065,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
135,Herbst,461.150000,off,0.000000,DTCS,88.5,88.5,265,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
136,CUP 36-2,467.850000,off,0.000000,DTCS,88.5,88.5,351,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
138,Smith,461.837500,off,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
140,CUP 40-2,458.837500,off,0.000000,DTCS,88.5,88.5,162,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
141,Custer,466.500000,off,0.000000,DTCS,88.5,88.5,047,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
142,Nemechek,462.812500,off,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
143,Jones,464.312500,off,0.000000,DTCS,88.5,88.5,465,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
144,CUP 44-2,456.637500,off,0.000000,TSQL,88.5,254.1,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
145,Reddick,463.150000,off,0.000000,TSQL,88.5,241.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
147,Stenhouse,458.650000,off,0.000000,DTCS,88.5,88.5,162,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
148,Bowman,457.912500,off,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
150,CUP 50-2,457.812500,off,0.000000,DTCS,88.5,88.5,245,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
151,Ware,451.562500,off,0.000000,DTCS,88.5,88.5,115,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
154,Gibbs,462.500000,off,0.000000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
155,CUP 55-2,456.587500,off,0.000000,TSQL,88.5,173.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
160,Preece,463.450000,off,0.000000,TSQL,88.5,254.1,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
162,CUP 62-2,467.887500,off,0.000000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
166,CUP 66-2,467.687500,off,0.000000,DTCS,88.5,88.5,565,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
167,CUP 67-2,451.237500,off,0.000000,DTCS,88.5,88.5,251,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
171,McDowell,453.637500,off,0.000000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
177,Hocevar,465.162500,off,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
178,CUP 78-2,468.962500,off,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
184,CUP 84-2,467.500000,off,0.000000,DTCS,88.5,88.5,503,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
188,Gisbergen,463.825000,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
191,CUP 91-2,466.300000,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
199,Suarez,469.812500,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
202,Cindric,463.887500,off,0.000000,DTCS,88.5,88.5,116,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
203,Dillon,462.025000,off,0.000000,DTCS,88.5,88.5,132,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
205,Larson,453.925000,off,0.000000,DTCS,88.5,88.5,346,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
208,Busch,458.587500,off,0.000000,DTCS,88.5,88.5,503,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
209,Elliot,465.562500,off,0.000000,DTCS,88.5,88.5,125,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
222,Logano,451.825000,off,0.000000,DTCS,88.5,88.5,306,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
224,Byron,459.162500,off,0.000000,DTCS,88.5,88.5,172,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
242,Nemechek,460.650000,off,0.000000,DTCS,88.5,88.5,263,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
